country,hours worked in a year,real wage (avg wage/cpi*100)
australia,1712,50880.1
austria,1501,50532.48
belgium,1583,51562.93
canada,1670,49514.15
chile,1914.4,24159.41
czech republic,1788,27026.95
denmark,1380,55485.44
estonia,1711,27650.82
finland,1540,44259.56
france,1505,44594.65
germany,1386.1,50947.95
greece,1949,27141.45
hungary,1725.2,24011.54
iceland,1454,62122.96
ireland,1772,49602.12
israel,1898.1,38874.31
italy,1717.8,38091.95
japan,1644,18284.23
korea,1967,40329.04
latvia,1661,26186.27
lithuania,1635,26048.65
luxembourg,1506,65168.42
mexico,2137,14843.5
netherlands,1434,53270.54
new zealand,1779,41605.4
norway,1384,48778.44
oecd total,1726,44821.96
poland,1806,30291.83
portugal,1719,25770.68
slovak republic,1695,23995.47
slovenia,1592.9,38370.54
spain,1686,38162.8
sweden,1452,43775.19
switzerland,1556.9,65647.93
united kingdom,1538,29424.3
united states,1779,61038.38
china,2315,12416.56
